State,Year,Category,Project,Company,Jobs Created,Qualified Expenditures,Incentive Issued
New York,2015,Film/TV,Knick Season 1 (13/14),Shadow Infirmary Productions LLC,"3,014","$65,510,361","$15,674,198"
Massachusetts,2014,,Equalizer,"Columbia Pictures Industries, Inc.",,,"$15,546,926"
New York,2015,Film/TV,Good Wife Season 5,Eye Productions Inc.,"3,772","$73,091,630","$15,540,226"
New York,2017,Film/TV,Good Wife - Season 6,Eye Productions Inc.,"3,945","$73,817,515","$15,447,616"
Connecticut,2014,Film and Digital Media Production Tax Credit,,"Stamford Media Center Productions, LLC",,"$164,193,908","$15,258,377"
Louisiana,2015,Feature Film,deepwater Horizon,Long Night Productions LLC,,"$49,321,361","$15,244,202"
Pennsylvania,,,Outsiders TV series - Season #2.,"Woodridge Productions, Inc.",150,,"$15,154,121"
Louisiana,2010,Feature Film,Untitled Hasbro Battleship Project,Battlehip Delta Investments LLC,,"$48,951,276","$14,955,944"
New York,2016,Film/TV,"Bluff, Season 2",ABC Studio,"3,448","$65,507,165","$14,931,550"
Louisiana,2013,Feature Film,22 Jump Street,Jump 21 Investments Inc.,,"$48,131,867","$14,869,604"
Massachusetts,2015,,Joy (formerly known as KAY'S BAPTISM),Twentieth Century Fox Film Corporation,,,"$14,775,351"
Pennsylvania,,,One Shot,Paramount Pictures Corporation,0,,"$14,512,794"
North Carolina,2015,,Sleepy Hollow,Twentieth Century Fox Film Corporation,"1,862","$58,040,456","$14,510,114"
Connecticut,2013,Film Infrastructure Tax Credit,,"ESPN, Inc. DC-2 Phase I",,"$72,153,302","$14,430,660"
North Carolina,2013,,Revolution,"Bonanza Productions, Inc.","2,766","$57,659,970","$14,414,993"
Louisiana,2014,TV Series,American Horror Story Season 4,Brightstar Fox Productions LLC,,"$45,713,617","$14,410,713"
Massachusetts,2016,,The Finest Hours,Nor'Easter Productions Inc.,,,"$14,408,518"
Maryland,2014,,House of Cards (Season 2),,"1,621","$54,817,158","$14,397,626"
New York,2015,Film/TV,Bluff Season 1,,"3,454","$56,139,816","$14,336,473"
Louisiana,2015,TV Series,NCIS New Orleans Season 2,Danni Productions LLC (CBS Studios),,"$41,588,711","$14,137,649"
New York,2016,Film/TV,"Mysteries of Laura, Season 1",Warner Bros Television,"5,821","$69,341,796","$14,136,742"
Pennsylvania,,,The Last Witch Hunter,"LWH Productions, LLC",600,,"$14,088,820"
Massachusetts,2014,,TED 2,"Raging Bear, LLC",,,"$14,043,474"
Connecticut,2015,Film Infrastructure Tax Credit,,"ESPN, Inc. DC-2 Phase III",,"$69,690,312","$13,938,062"
California,2018,Feature Film,Midway,"Midway Island Productions, Inc.",315,"$59,493,000","$13,913,000"
North Carolina,2012,,Hunger Games,"Ludus Productions, Inc.","1,133","$55,085,994","$13,771,499"
Louisiana,2015,Feature Film,The Magnificent Seven,M7 Productions LLC,,"$44,365,072","$13,724,381"
New York,2016,Film/TV,"Saturday Night Live, Season 40","NBC Studios, LLC","2,473","$75,473,810","$13,583,522"
New York,2017,Film/TV,Power - Season 3,"Starz Power Productions, LLC","3,949","$55,919,218","$13,575,947"
New York,2017,Film/TV,Law and Order SVU -Season 16,Universal Network LLC,"5,501","$77,241,839","$13,570,168"
Maryland,2016,,House of Cards (Season 4),,"2,678","$75,572,507","$13,500,000"
Michigan,2016,Feature Film,"Transformers 5 - Part 1 (fka Beverly Hills Cop IV, 2014-07)",,,,"$13,500,000"
Louisiana,2012,Feature Film,Now You See Me,See Me Louisiana LLC,,"$43,299,857","$13,431,715"
Louisiana,2015,Feature Film,Jack Reacher 2,Government Issue LLC (Paramount),,"$41,630,963","$13,385,711"
Louisiana,2013,TV Series,Untitled Pizzolatto Cop Project,Allegra Productions LLC,,"$41,202,976","$12,983,707"
Louisiana,2011,Feature Film,21 Jump Street,Jump 21 Investments LLC,,"$41,878,835","$12,955,842"
New York,2017,Film/TV,Affair-Season 2,Possible Productions Inc.,"3,417","$55,648,426","$12,716,325"
Louisiana,2013,TV Series,American Horror Story Coven,Brightstar Fox Productions LLC,,"$40,720,249","$12,676,024"
Massachusetts,2013,,The Judge,Warner Bros. Pictures,,,"$12,514,447"
Connecticut,2008,Film and Digital Media Production Tax Credit,,"Righteous Kill Productions, Inc.",,"$41,713,515","$12,514,055"
New York,2017,Film/TV,Royal Pains - Seasons 7&8,Universal Television LLC,"2,733","$54,643,219","$12,473,090"
New York,2017,Film/TV,Night Of,"Night of Prodns, LLC","3,604","$51,863,766","$12,442,496"
New York,2015,Film/TV,Following Season 2 (13/14),,"4,348","$53,898,835","$12,428,684"
New York,2015,Film/TV,Saturday Night Live Season 39 (13/14),,"2,143","$70,361,934","$12,316,863"
Louisiana,2012,Feature Film,Beautiful Creatures,Sixteen Moon Productions LLC,,"$39,211,598","$12,256,281"
Connecticut,2014,Film Infrastructure Tax Credit,,"ESPN, Inc. DC-2 Phase II",,"$60,693,387","$12,138,677"
New York,2016,Film/TV,Following Season 3 (14/15),"Bonanza Productions, Inc.","3,934","$53,152,814","$12,097,777"
Massachusetts,2015,,Black Mass,"Charlestown Productions, LLC",,,"$12,041,344"
Louisiana,2013,Feature Film,Get Hard,Hazardous Films LLC (Warner Bros.),,"$39,059,140","$12,020,583"
Connecticut,2015,Film and Digital Media Production Tax Credit,,"World Wrestling Entertainment, Inc.",,,"$11,941,171"
Connecticut,2014,Film and Digital Media Production Tax Credit,,"World Wrestling Entertainment, Inc.",,,"$11,930,817"
Connecticut,2016,Film and Digital Media Production Tax Credit,,"World Wrestling Entertainment, Inc.",,"$260,353,511","$11,740,013"
Pennsylvania,,,Banshee - Season 4,"Screaming Spirit Productions, LLC",0,,"$11,706,717"
New York,2017,Film/TV,Girl On The Train,"DWS New York, LLC","2,439","$50,189,059","$11,700,509"
Maryland,2013,,House of Cards (Season 1),,"2,198","$63,680,906","$11,676,029"
New York,2016,Film/TV,POWER Season 2,"Starz Power Productions, LLC","3,859","$49,484,153","$11,616,802"
California,2017,Feature Film,Untitled Universal Pictures Project,"Universal City Studios, LLC",214,"$55,225,000","$11,563,000"
Maryland,2015,,House of Cards (Season 3),,"2,121","$61,901,094","$11,500,000"
Illinois,,Film,Divergent,,,
New York,2016,Film/TV,Annie,"Columbia Pictures Industries, Inc.","3,984","$59,256,564","$11,468,797"
New York,2016,Film/TV,"Intern, The",Warner Bros Pictures,"2,441","$44,273,865","$11,387,758"
California,2017,Recurring TV Series,Rosewood 2,Twentieth Century Fox Film Corporation,462,"$55,977,000","$11,387,000"
New York,2016,Film/TV,Flesh and Bone,,"3,249","$48,517,957","$11,352,945"
Massachusetts,2016,,Central Intelligence,Rose City Pictures Inc.,,,"$11,306,562"
Louisiana,2014,TV Series,NCIS NOLA,Danni Productions LLC (CBS Studios),,"$35,437,991","$11,159,056"
Ohio,2017,,The One Percent (TV series - Season 1),"Sunny Laura Productions, LLC",,,"$11,102,159"
Connecticut,2015,Film and Digital Media Production Tax Credit,,"A&E Television Networks, LLC",,,"$11,060,723"
New York,2015,Film/TV,Run All Night,Warner Bros Pictures,"2,861","$61,579,497","$11,048,915"
California,2017,Relocating TV Series,Legion 2,"Minim Productions, Inc.",160,"$44,128,000","$11,032,000"
Connecticut,2008,Film and Digital Media Production Tax Credit,,"Old Dogs Productions, Inc.",,"$36,758,256","$11,027,477"
New York,2016,Film/TV,Believe Season 1 (13/14),Bonanza Productions Inc,"3,079","$43,044,293","$10,958,231"
New York,2017,Film/TV,The OA,Lunar Mining LLC,"2,134","$43,058,695","$10,923,682"
Louisiana,2013,Feature Film,Grudge Match,Riverboat Productions LLC,,"$35,317,358","$10,912,912"
North Carolina,2014,,Sleepy Hollow,Twentieth Century Fox Film Corporation,"1,593","$43,648,743","$10,912,186"
