Zipcode, Median income, Avg Income, GDP per capita, Percentage earning above $200k
11420,"$66,220","$85,258","$24,460",5.5%
11432,"$52,975","$75,650","$23,174",5.6%
10112,$0,$0,$0,0.0%
10029,"$34,015","$65,837","$27,966",5.0%
11417,"$69,989","$86,034","$25,481",6.2%
10171,$0,$0,$0,0.0%
10152,$0,$0,$0,0.0%
10469,"$61,090","$74,763","$24,621",4.3%
10279,$0,$0,$0,0.0%
10075,"$129,594","$221,630","$111,997",31.2%
10004,"$140,450","$191,760","$105,390",33.0%
11354,"$44,512","$63,624","$24,252",4.1%
11375,"$76,467","$101,342","$46,430",10.1%
11356,"$59,712","$76,125","$25,148",4.1%
10453,"$24,421","$36,529","$13,386",0.6%
11229,"$59,287","$79,904","$29,597",7.0%
10069,"$137,105","$225,828","$112,264",32.0%
11430,$0,$0,"$7,330",0.0%
10165,$0,$0,$0,0.0%
11201,"$116,446","$176,189","$77,491",26.8%
10466,"$49,906","$66,344","$23,060",3.6%
0,$0,$0,"$3,585",0.0%
11422,"$86,996","$96,500","$30,216",6.8%
10007,"$242,644","$376,573","$153,897",57.8%
11214,"$53,151","$73,599","$25,791",4.9%
11362,"$80,828","$97,327","$38,986",8.3%
10037,"$39,979","$57,342","$27,913",2.2%
10013,"$106,056","$252,811","$107,794",33.4%
11691,"$42,434","$58,683","$19,799",2.7%
10038,"$85,032","$132,658","$63,676",19.2%
11377,"$54,989","$69,474","$25,978",3.3%
11366,"$67,115","$94,635","$31,649",13.1%
11228,"$63,697","$89,178","$30,740",7.8%
11379,"$79,573","$95,587","$36,301",7.2%
10001,"$85,221","$161,227","$86,014",22.4%
10452,"$27,206","$38,756","$14,142",0.8%
10005,"$154,213","$201,734","$102,957",37.5%
11434,"$60,702","$73,933","$25,446",2.3%
11360,"$84,476","$102,457","$45,446",12.2%
10467,"$35,381","$48,581","$18,402",0.9%
10167,$0,$0,$0,0.0%
11234,"$79,490","$99,504","$33,502",8.5%
11004,"$93,315","$107,832","$38,119",8.1%
10472,"$30,593","$43,326","$15,117",0.8%
10312,"$90,797","$108,766","$38,250",10.4%
11694,"$77,547","$104,387","$43,411",10.3%
11697,"$99,792","$124,884","$48,159",17.0%
10026,"$54,349","$95,709","$39,354",10.6%
11205,"$51,574","$78,983","$28,894",7.6%
10303,"$59,898","$70,898","$23,038",3.5%
11239,"$26,002","$36,537","$19,375",0.9%
11361,"$82,020","$99,655","$37,166",9.6%
11215,"$116,893","$162,894","$67,148",24.6%
11040,"$118,457","$144,076","$45,105",20.8%
11412,"$75,307","$89,346","$27,935",5.6%
10022,"$133,208","$246,355","$145,479",35.3%
11216,"$56,025","$79,825","$34,644",6.5%
10002,"$35,449","$65,718","$30,677",6.4%
11359,$0,$0,$0,0.0%
11427,"$72,874","$96,719","$32,110",7.2%
