Zipcode, Number of Permits
11205,154
11236,2
10309,16
11106,181
11251,15
11218,72
10452,16
11237,82
11379,6
11364,5
11109,21
11249,263
10012,253
11238,100
11385,57
10039,12
11427,3
10010,155
11367,10
10038,103
10009,108
10470,2
11355,3
10128,61
10464,4
11213,4
11357,13
10457,16
10475,2
0,1
10000,1
11226,85
11214,8
11224,29
11221,20
11414,2
11435,16
10011,407
11231,161
11004,5
11229,10
10310,13
10473,1
11230,33
10014,286
11216,40
10305,13
11418,20
10280,7
10463,9
10278,1
10001,440
11697,1
10455,1
11691,19
11368,10
11102,32
11422,3
11208,1
11204,2
11232,38
10304,5
10460,1
10303,5
10103,18
10458,24
11366,3
10468,19
10472,1
10003,340
11207,13
11362,3
10023,308
11378,64
10451,47
10040,20
11219,3
11692,1
11038,3
11377,21
11201,334
11220,30
10022,197
11209,15
11694,15
11206,83
11423,4
10002,227
11203,5
11222,968
11373,9
11433,6
10065,108
10454,12
10456,9
10035,37
11372,4
11223,2
11105,33
11358,3
11210,24
10028,64
11415,37
11361,11
11040,2
10097,2
11228,6
10033,49
10031,63
10004,79
11217,204
11413,4
11432,5
10112,28
10069,2
10044,12
10027,118
10036,527
10471,13
10301,24
11233,9
10453,4
00083,14
11212,6
11375,27
11354,11
11417,1
11411,1
10037,9
11365,2
10024,85
10026,47
N/A,2
11374,6
11211,236
10025,78
11234,6
11360,12
11434,2
11421,11
10029,77
10007,142
10121,130
11104,25
10302,14
11412,3
11363,31
11359,9
11241,9
10312,2
11235,10
10466,6
10013,340
10308,9
11225,29
10019,524
10162,1
10032,74
10020,79
10048,7
10111,40
11103,21
10041,3
11356,2
11101,799
10018,159
11693,6
10119,10
10034,13
10467,1
10469,1
10314,11
10005,90
10307,5
10030,15
11369,9
11419,4
10075,49
10017,171
11370,4
10282,8
10474,45
10306,13
10016,135
11426,2
10459,1
11215,97
10006,32
10281,3
10021,84
10465,4
10153,1
