11226,HEAT/HOT WATER,5193
10467,HEAT/HOT WATER,4133
10458,HEAT/HOT WATER,3957
10467,Noise - Residential,3911
11385,Illegal Parking,3849
10453,HEAT/HOT WATER,3664
11221,Noise - Residential,3638
10468,HEAT/HOT WATER,3612
10452,HEAT/HOT WATER,3467
11226,Noise - Residential,3395
10457,HEAT/HOT WATER,3341
10453,Noise - Residential,3217
11385,Request Large Bulky Item Collection,3200
10468,Noise - Residential,3185
10032,Noise - Street/Sidewalk,3115
11366,Noise - Vehicle,3090
10031,Noise - Street/Sidewalk,3074
11206,Noise - Residential,3046
10031,HEAT/HOT WATER,3032
11101,Illegal Parking,3016
11215,Request Large Bulky Item Collection,2995
11368,Blocked Driveway,2989
11385,Noise - Residential,2974
10456,Noise - Residential,2878
10458,Noise - Residential,2842
11373,HEAT/HOT WATER,2795
11432,Noise - Vehicle,2773
10456,HEAT/HOT WATER,2771
11214,Illegal Parking,2760
11204,Illegal Parking,2714
10452,Noise - Residential,2711
11223,Illegal Parking,2684
10457,Noise - Residential,2668
10452,Noise - Street/Sidewalk,2666
11209,Illegal Parking,2473
10453,Noise - Street/Sidewalk,2393
11225,HEAT/HOT WATER,2388
10460,HEAT/HOT WATER,2358
10462,HEAT/HOT WATER,2339
11207,Noise - Residential,2325
10033,Noise - Residential,2320
11385,Blocked Driveway,2290
11378,Illegal Parking,2281
11201,Illegal Parking,2266
11230,Illegal Parking,2245
10032,Noise - Residential,2198
10033,Noise - Street/Sidewalk,2197
10026,Noise - Street/Sidewalk,2191
10034,Noise - Street/Sidewalk,2181
10463,Noise - Residential,2174
11208,Noise - Residential,2168
10040,Noise - Street/Sidewalk,2163
10033,HEAT/HOT WATER,2138
11225,Noise - Residential,2117
11226,Noise - Street/Sidewalk,2115
11209,Request Large Bulky Item Collection,2064
10031,Noise - Residential,2056
11419,Noise - Residential,2050
10032,HEAT/HOT WATER,2036
10009,Noise - Residential,2035
11236,Blocked Driveway,2019
11208,Blocked Driveway,2007
11234,Illegal Parking,1997
11237,Noise - Residential,1981
11213,HEAT/HOT WATER,1957
10029,Noise - Residential,1953
11233,Noise - Residential,1945
11221,Noise - Street/Sidewalk,1945
11225,Noise - Street/Sidewalk,1937
11419,Blocked Driveway,1919
11373,Blocked Driveway,1879
10462,Noise - Residential,1870
11233,HEAT/HOT WATER,1855
10002,Illegal Parking,1852
11216,Noise - Residential,1848
10457,Noise - Street/Sidewalk,1848
10040,Noise - Residential,1847
11203,Blocked Driveway,1841
11213,Noise - Residential,1835
11355,Blocked Driveway,1821
10468,Noise - Street/Sidewalk,1802
10027,Noise - Residential,1802
11238,Illegal Parking,1772
10466,Noise - Residential,1755
11212,Noise - Residential,1747
11368,Noise - Residential,1732
10463,HEAT/HOT WATER,1727
10314,Request Large Bulky Item Collection,1716
11377,Illegal Parking,1707
11421,Illegal Parking,1700
11366,Illegal Parking,1698
11214,Blocked Driveway,1678
11212,HEAT/HOT WATER,1676
11377,Blocked Driveway,1676
10451,HEAT/HOT WATER,1669
10034,Noise - Residential,1668
10034,HEAT/HOT WATER,1659
11237,Noise - Street/Sidewalk,1651
10472,HEAT/HOT WATER,1650
10029,HEAT/HOT WATER,1626
11209,HEAT/HOT WATER,1624
11207,Blocked Driveway,1619
10460,Noise - Residential,1612
10456,Noise - Street/Sidewalk,1610
10472,Noise - Residential,1607
10301,Noise,1601
10467,Blocked Driveway,1601
