Complaint Type,count
Noise - Residential,169067
Illegal Parking,144502
HEAT/HOT WATER,128691
Request Large Bulky Item Collection,99538
Blocked Driveway,98530
Noise - Street/Sidewalk,79501
Street Condition,71646
Street Light Condition,51857
Water System,50904
UNSANITARY CONDITION,47912
Noise,43486
General Construction/Plumbing,37212
Noise - Vehicle,33164
Sidewalk Condition,32668
Missed Collection (All Materials),30785
PAINT/PLASTER,30670
PLUMBING,30150
Noise - Commercial,29801
Traffic Signal Condition,29663
Derelict Vehicles,27137
Dirty Conditions,25736
Rodent,25212
Sewer,24813
Sanitation Condition,21407
DOOR/WINDOW,20962
WATER LEAK,20423
Damaged Tree,19802
Electronics Waste Appointment,18808
Building/Use,18547
Derelict Vehicle,17777
New Tree Request,14731
GENERAL,14711
ELECTRIC,14601
Homeless Person Assistance,14380
Abandoned Vehicle,13676
Maintenance or Facility,13236
FLOORING/STAIRS,12724
Graffiti,12714
Elevator,12117
For Hire Vehicle Complaint,11879
Overgrown Tree/Branches,11839
Consumer Complaint,11283
Broken Parking Meter,9479
Taxi Complaint,8759
Dead/Dying Tree,8345
Construction Safety Enforcement,8214
APPLIANCE,8183
Food Establishment,8045
Root/Sewer/Sidewalk Condition,7531
Non-Emergency Police Matter,7498
Air Quality,6261
Lead,6196
SAFETY,6145
Curb Condition,5856
DOF Property - Reduction Issue,5737
Unsanitary Condition,5359
Street Sign - Damaged,4853
Benefit Card Replacement,4555
Plumbing,4362
Homeless Encampment,4222
Street Sign - Missing,4216
Special Projects Inspection Team (SPIT),4177
Other Enforcement,4005
Lost Property,3833
Animal Abuse,3721
Water Conservation,3706
Vending,3671
Noise - Park,3603
Borough Office,3565
Traffic,3532
DOF Property - Request Copy,3471
Emergency Response Team (ERT),3247
Indoor Air Quality,3053
Illegal Tree Damage,2810
Highway Condition,2660
DOF Property - Payment Issue,2609
SCRIE,2516
DOF Property - Update Account,2490
Violation of Park Rules,2452
Housing - Low Income Senior,2336
Street Sign - Dangling,2307
Hazardous Materials,2205
Animal-Abuse,2169
Electrical,2045
Food Poisoning,2029
Derelict Bicycle,1961
Standing Water,1936
Smoking,1789
Animal in a Park,1761
DOF Parking - Payment Issue,1704
Boilers,1696
Drug Activity,1675
Mobile Food Vendor,1653
Asbestos,1621
Snow,1531
Noise - Helicopter,1517
Unsanitary Animal Pvt Property,1472
Litter Basket / Request,1337
Drinking,1301
Building Marshals office,1271
HPD Literature Request,1226
School Maintenance,1153
Taxi Report,1128
BEST/Site Safety,1106
General,1093
Water Quality,1006
Indoor Sewage,921
Industrial Waste,920
DOF Property - Owner Issue,901
Illegal Fireworks,865
Vacant Lot,856
ELEVATOR,854
Investigations and Discipline (IAD),772
Sustainability Enforcement,749
Housing Options,710
Bus Stop Shelter Complaint,680
DPR Internal,676
Non-Residential Heat,659
DRIE,657
Noise - House of Worship,585
DCA / DOH New License Application Request,563
Question,559
Bike/Roller/Skate Chronic,510
OUTSIDE BUILDING,506
Unleashed Dog,482
Overflowing Litter Baskets,461
Urinating in Public,459
Recycling Enforcement,458
Unsanitary Pigeon Condition,446
Day Care,420
For Hire Vehicle Report,417
Safety,416
Mosquitoes,401
DOF Property - Property Value,390
Panhandling,361
Missed Collection,334
Ferry Inquiry,329
Mold,322
DEP Street Condition,320
Sweeping/Missed,305
DOF Parking - Request Copy,291
Facades,279
DOF Property - RPIE Issue,273
Bridge Condition,254
Special Operations,253
Public Payphone Complaint,253
DOF Parking - Request Status,229
DOF Parking - Tax Exemption,217
Executive Inspections,213
Poison Ivy,205
Forms,199
Quality of Life,185
Beach/Pool/Sauna Complaint,184
Illegal Animal Kept as Pet,183
Taxi Compliment,173
Advocate-Prop Refunds/Credits,170
Scaffold Safety,165
Ferry Complaint,150
Cranes and Derricks,149
Elder Abuse,144
Bus Stop Shelter Placement,139
Found Property,133
Collection Truck Noise,131
Sweeping/Inadequate,130
Pet Shop,115
Harboring Bees/Wasps,114
LinkNYC,111
Senior Center Complaint,108
Bike Rack Condition,107
Drinking Water,104
Posting Advertisement,100
Special Natural Area District (SNAD),90
Tattooing,89
Green Taxi Complaint,88
Miscellaneous Categories,83
Plant,81
Disorderly Youth,75
Advocate - Other,73
Alzheimer's Care,72
Highway Sign - Damaged,70
FATF,70
Advocate-Personal Exemptions,62
Taxpayer Advocate Inquiry,58
DOF Parking - DMV Clearance,55
Animal Facility - No Permit,48
Unsanitary Animal Facility,47
Municipal Parking Facility,44
OEM Literature Request,44
Home Delivered Meal - Missed Delivery,43
Highway Sign - Missing,39
Comments,38
Unlicensed Dog,38
Ferry Permit,36
Home Delivered Meal Complaint,36
Illegal Animal Sold,33
Foam Ban Enforcement,32
Public Toilet,30
Single Occupancy Bathroom,30
Sweeping/Missed-Inadequate,30
Window Guard,23
Highway Sign - Dangling,20
Cooling Tower,19
Lifeguard,17
Research Questions,14
Dispatched Taxi Complaint,14
Case Management Agency Complaint,13
Taxi Licensee Complaint,12
Green Taxi Report,12
Home Care Provider Complaint,11
Advocate-Co-opCondo Abatement,10
Bottled Water,9
X-Ray Machine/Equipment,8
FHV Licensee Complaint,8
Radioactive Material,8
Calorie Labeling,7
Outside Building,6
Squeegee,5
DEP Sidewalk Condition,5
Forensic Engineering,5
Bereavement Support Group,5
..\..\..\..\..\..\..\..\..\...,4
../../../../../../../../../...,4
Advocate - Lien,4
Advocate - RPIE,4
Appliance,4
Tunnel Condition,4
Advocate-Property Value,4
Tanning,3
Advocate-Business Tax,3
Misc. Comments../../../../....,3
Advocate-Commercial Exemptions,3
Request Xmas Tree Collection,3
Transportation Provider Complaint,3
Advocate-SCRIE/DRIE,3
Overflowing Recycling Baskets,3
Electronics Waste,3
Internal Code,2
file:///etc/passwd,2
DSNY Spillage,2
SRDE,2
Dept of Investigations,2
Misc. Comments..\..\..\..\....,2
Misc. Comments' and '7835'=...,1
