Street Condition,119212
Street Light Condition,58865
Water System,54529
Noise - Residential,51917
Illegal Parking,51816
Missed Collection (All Materials),45113
Sewer,42624
Damaged Tree,34829
Sanitation Condition,28604
General Construction/Plumbing,26823
Dirty Conditions,26728
Blocked Driveway,25752
Request Large Bulky Item Collection,25666
Derelict Vehicle,22194
Electronics Waste,22023
Sidewalk Condition,20818
Overgrown Tree/Branches,18824
Traffic Signal Condition,17977
Building/Use,16820
Noise,16324
Rodent,14601
Root/Sewer/Sidewalk Condition,14011
PLUMBING,12305
Electronics Waste Appointment,11768
HEAT/HOT WATER,11402
Derelict Vehicles,11064
Snow,10947
UNSANITARY CONDITION,10895
DOF Property - Reduction Issue,10679
New Tree Request,9298
GENERAL CONSTRUCTION,8358
DOF Property - Owner Issue,7417
Noise - Commercial,7095
Dead Tree,6876
Noise - Street/Sidewalk,6490
DOF Property - Request Copy,6475
ELECTRIC,6266
Maintenance or Facility,6256
HEATING,6015
PAINT/PLASTER,5838
Non-Emergency Police Matter,5699
Water Conservation,5691
DOF Property - Payment Issue,5561
Consumer Complaint,5162
Dead/Dying Tree,4807
Noise - Vehicle,4564
Standing Water,4453
Other Enforcement,4312
PAINT - PLASTER,4232
DOOR/WINDOW,4115
Street Sign - Damaged,4103
Street Sign - Missing,3910
NONCONST,3905
Animal Abuse,3685
Vacant Lot,3514
WATER LEAK,3395
Food Establishment,3375
Curb Condition,3157
Plumbing,3107
Highway Condition,3042
DOF Property - Update Account,2739
Lead,2722
DHS Advantage -Landlord/Broker,2692
DHS Advantage - Tenant,2631
FLOORING/STAIRS,2625
Graffiti,2559
Air Quality,2466
Broken Muni Meter,2462
Unsanitary Animal Pvt Property,2441
GENERAL,2286
APPLIANCE,2169
Electrical,2023
Street Sign - Dangling,1962
Illegal Tree Damage,1902
Litter Basket / Request,1885
Traffic,1852
Hazardous Materials,1851
BEST/Site Safety,1850
Housing - Low Income Senior,1553
Elevator,1541
Posting Advertisement,1515
Industrial Waste,1510
Indoor Air Quality,1311
Abandoned Vehicle,1310
Traffic/Illegal Parking,1222
Emergency Response Team (ERT),1196
SAFETY,1192
Food Poisoning,1154
