11226,HEATING,7244
10467,HEATING,6408
10458,HEATING,6118
10453,HEATING,5895
10468,HEATING,5769
11226,GENERAL CONSTRUCTION,5115
10452,HEATING,4825
10040,HEATING,4768
11226,PLUMBING,4702
10457,HEATING,4572
11225,HEATING,4541
10456,HEATING,4406
11213,HEATING,4184
10031,HEATING,4168
10032,HEATING,4011
11226,PAINT - PLASTER,3934
11221,HEATING,3906
10453,GENERAL CONSTRUCTION,3855
10457,GENERAL CONSTRUCTION,3690
10460,HEATING,3652
11212,HEATING,3646
11233,HEATING,3617
10458,GENERAL CONSTRUCTION,3517
11207,HEATING,3474
10468,GENERAL CONSTRUCTION,3291
11203,HEATING,3256
10457,PLUMBING,3204
10462,HEATING,3192
10467,GENERAL CONSTRUCTION,3184
10453,PLUMBING,3163
11233,GENERAL CONSTRUCTION,3154
10467,Noise - Residential,3133
10033,HEATING,3125
11216,HEATING,3101
11221,GENERAL CONSTRUCTION,3072
10452,GENERAL CONSTRUCTION,3063
10472,HEATING,3017
10457,PAINT - PLASTER,3011
10467,PLUMBING,2919
10032,GENERAL CONSTRUCTION,2914
10456,GENERAL CONSTRUCTION,2906
11207,GENERAL CONSTRUCTION,2882
10468,PLUMBING,2853
10452,PLUMBING,2826
10463,HEATING,2821
10458,PLUMBING,2810
10453,PAINT - PLASTER,2790
10458,PAINT - PLASTER,2776
10452,PAINT - PLASTER,2722
10467,PAINT - PLASTER,2703
10031,GENERAL CONSTRUCTION,2701
11230,HEATING,2700
11207,PLUMBING,2688
11208,HEATING,2664
11226,NONCONST,2661
11225,GENERAL CONSTRUCTION,2630
11226,Noise - Residential,2589
11213,GENERAL CONSTRUCTION,2545
10459,HEATING,2512
11221,PLUMBING,2506
10468,PAINT - PLASTER,2476
10453,Noise - Residential,2475
10460,GENERAL CONSTRUCTION,2464
11233,PLUMBING,2454
10025,HEATING,2414
10456,PLUMBING,2400
10032,PAINT - PLASTER,2394
11225,PLUMBING,2383
11210,HEATING,2374
10032,PLUMBING,2350
