Complaint Type,count
HEATING,190184
GENERAL CONSTRUCTION,133242
PLUMBING,113218
Noise - Residential,111447
Street Condition,104694
Street Light Condition,101314
PAINT - PLASTER,100704
NONCONST,68407
Water System,61578
Blocked Driveway,52592
General Construction/Plumbing,48964
Traffic Signal Condition,47165
Sewer,46282
ELECTRIC,37802
Dirty Conditions,36926
Illegal Parking,34204
Damaged Tree,32106
Noise,32041
Building/Use,27465
Sanitation Condition,24563
Rodent,21494
Sidewalk Condition,20041
Taxi Complaint,19059
Missed Collection (All Materials),18922
Noise - Commercial,18338
Noise - Street/Sidewalk,17439
SCRIE,17395
Consumer Complaint,17006
DHS Advantage - Tenant,16104
Graffiti,16004
Broken Muni Meter,15876
DHS Advantage -Landlord/Broker,14044
APPLIANCE,13611
Overgrown Tree/Branches,13482
Derelict Vehicle,12923
Noise - Vehicle,12407
Snow,12123
DOF Property - Owner Issue,10783
Derelict Vehicles,10573
DOF Parking - Payment Issue,10174
New Tree Request,9849
DOF Property - Reduction Issue,9561
Maintenance or Facility,8772
Dead Tree,8509
Root/Sewer/Sidewalk Condition,8065
Noise Survey,7502
HPD Literature Request,7181
Elevator,7104
Street Sign - Damaged,6785
Air Quality,6405
DOF Property - Request Copy,6361
Food Establishment,6236
Broken Parking Meter,5658
Housing - Low Income Senior,5356
DOF Property - Payment Issue,4973
Lead,4774
DCA / DOH New License Application Request,4527
Plumbing,4498
Highway Condition,4412
Other Enforcement,4368
Indoor Air Quality,4146
Vending,4137
Non-Emergency Police Matter,4119
Street Sign - Missing,4093
Electrical,4027
Construction,3781
Litter Basket / Request,3124
Traffic,3035
Water Conservation,3031
Special Projects Inspection Team (SPIT),2924
Emergency Response Team (ERT),2750
Food Poisoning,2741
Unsanitary Animal Pvt Property,2544
For Hire Vehicle Complaint,2534
Noise - Park,2329
Street Sign - Dangling,2109
Curb Condition,2109
DOF Parking - Request Status,2055
School Maintenance,1994
Asbestos,1977
Vacant Lot,1957
Hazardous Materials,1937
Bus Stop Shelter Complaint,1890
Boilers,1840
Homeless Encampment,1839
Smoking,1818
BEST/Site Safety,1773
Housing Options,1762
Sweeping/Missed-Inadequate,1755
Violation of Park Rules,1681
OEM Literature Request,1679
Illegal Tree Damage,1634
Animal in a Park,1614
Industrial Waste,1525
Investigations and Discipline (IAD),1490
CONSTRUCTION,1405
Overflowing Litter Baskets,1356
Noise - Helicopter,1280
DOF Parking - Request Copy,1272
Drinking,1240
Noise - House of Worship,1172
Public Payphone Complaint,1148
Home Repair,1119
Unleashed Dog,1021
Recycling Enforcement,973
Construction Safety Enforcement,969
Window Guard,967
Disorderly Youth,909
Non-Residential Heat,901
Water Quality,852
Bridge Condition,835
HEAP Assistance,810
Elder Abuse,770
Unsanitary Pigeon Condition,648
Taxi Compliment,644
Found Property,548
Ferry Inquiry,532
Indoor Sewage,463
Bike/Roller/Skate Chronic,437
Weatherization,432
Derelict Bicycle,409
Utility Program,404
Alzheimer's Care,401
DHS Advantage - Third Party,401
DOF Parking - DMV Clearance,392
Urinating in Public,370
City Vehicle Placard Complaint,355
OEM Disabled Vehicle,303
Scaffold Safety,294
Cranes and Derricks,292
DOF Parking - Tax Exemption,285
Senior Center Complaint,280
DOF Property - City Rebate,255
DOF Property - RPIE Issue,251
Bus Stop Shelter Placement,251
Safety,235
Mold,225
Illegal Animal Kept as Pet,221
Illegal Fireworks,215
Posting Advertisement,214
Ferry Complaint,204
Bike Rack Condition,195
Teaching/Learning/Instruction,195
Quality of Life,168
Discipline and Suspension,163
Beach/Pool/Sauna Complaint,154
Plant,153
Harboring Bees/Wasps,138
Miscellaneous Categories,128
Home Delivered Meal - Missed Delivery,125
Collection Truck Noise,125
Summer Camp,122
Panhandling,115
Poison Ivy,91
Municipal Parking Facility,90
Tattooing,87
Unsanitary Animal Facility,83
Highway Sign - Damaged,81
Parking Card,75
Registration and Transfers,73
Animal Facility - No Permit,69
Home Delivered Meal Complaint,67
Special Natural Area District (SNAD),61
Health,61
DHS Income Savings Requirement,59
Drinking Water,54
Highway Sign - Missing,53
Stalled Sites,44
Bereavement Support Group,42
Legal Services Provider Complaint,36
Public Toilet,33
Case Management Agency Complaint,31
Parent Leadership,30
Home Care Provider Complaint,26
Adopt-A-Basket,25
Forensic Engineering,25
Illegal Animal Sold,23
Ferry Permit,20
Radioactive Material,19
Highway Sign - Dangling,18
X-Ray Machine/Equipment,18
Lifeguard,17
Calorie Labeling,17
Bottled Water,17
DOF Parking - Address Update,15
Squeegee,9
Transportation Provider Complaint,9
No Child Left Behind,8
Lost Property,7
Trans Fat,3
Tunnel Condition,3
ATF,3
Building Condition,2
Portable Toilet,2
Forms,2
Benefit Card Replacement,1
Eviction,1
NORC Complaint,1
Interior Demo,1
